productId;productName;brand;listprice;Offer_price;categories;link;description;País de Origen;productReference
82811;Atún Lomitos En Agua 104 g Drenado;Cuisine & Co;1390.0;0.0;['/Despensa/Conservas/Conservas de Pescado/', '/Despensa/Conservas/', '/Despensa/'];https://jumbo.vtexcommercestable.com.br/atun-lomitos-en-agua-104-g-drenado-cuisine-and-co-1828067/p;Lomitos de atún en agua, un producto de la industria ecuatoriana. El atún es una excelente fuente de Omega 3.;['Tailandia'];1828067
80749;Yoghurt Proteína Frutilla 155 g;Soprole;649.0;0.0;['/Lácteos/Yoghurt/Yoghurt con Proteínas/', '/Lácteos/Yoghurt/', '/Lácteos/'];https://jumbo.vtexcommercestable.com.br/yoghurt-protein-frutilla-155-g/p;"Yoghurt hecho con leche natural, buena fuente de proteína (10 gramos por porción), sin azúcar añadida, sin lactosa y bajo en grasa total.
Disfruta nuestros productos Soprole Potein+ altos en proteína, una forma rica y práctica de mantenerte con energía";['Chile'];1775576006
80748;Yoghurt Proteína Natural 155 g;Soprole;649.0;0.0;['/Lácteos/Yoghurt/Yoghurt con Proteínas/', '/Lácteos/Yoghurt/', '/Lácteos/'];https://jumbo.vtexcommercestable.com.br/yoghurt-protein-natural-155-g/p;"Yoghurt hecho con leche natural, buena fuente de proteína (10 gramos por porción), sin azúcar añadida, sin lactosa y bajo en grasa total.
Disfruta nuestros productos Soprole Potein+ altos en proteína, una forma rica y práctica de mantenerte con energía";['Chile'];1775576005
76816;Atún Lomitos en Agua 104 g drenado;Robinson Crusoe;1850.0;380.0;['/Despensa/Conservas/Conservas de Pescado/', '/Despensa/Conservas/', '/Despensa/'];https://jumbo.vtexcommercestable.com.br/atun-robinson-crusoe-lomitos-en-agua-light-104-g-drenado/p;Disfruta todo el sabor del mar en tu mesa gracias a la gran variedad de pescados y mariscos en conserva Robinson Crusoe. Sus productos son ideales para tus preparaciones favoritas. Perfectos para disfrutar en familia.;['Tailandia'];1801353
75960;Pan hallulla delgada granel;Panadería Propia;2090.0;1044.0;['/Panadería y Pastelería/Panadería granel/Pan Tradicional/', '/Panadería y Pastelería/Panadería granel/', '/Panadería y Pastelería/'];https://jumbo.vtexcommercestable.com.br/hallulla-delgada-granel/p;Pan hallulla delgada granel, es ideal para tus preparaciones favoritas. Perfecta para disfrutar en compañía de amigos o familiares.;;1796062-KG
68981;Agua Benedictino Sin Gas Bidón 6.5 L;Benedictino;1990.0;0.0;['/Bebidas, Aguas y Jugos/Aguas Minerales/Agua Mineral sin Gas/', '/Bebidas, Aguas y Jugos/Aguas Minerales/', '/Bebidas, Aguas y Jugos/'];https://jumbo.vtexcommercestable.com.br/agua-purificada-sin-gas-benedictino-6-5-l/p;El agua Benedictino es perfecta para los amantes de lo natural, con su increíble pureza sentirás como estar bebiéndola directamente desde la montaña.;['Chile'];1772998
53640;Manzana verde granel;Frutas y Verduras Propias;2490.0;1245.0;['/Frutas y Verduras/Frutas/Fruta/', '/Frutas y Verduras/Frutas/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/manzana-verde-granel/p;"Deliciosas Manzanas Verdes, ideales para su consumo a diario de la manera que prefieras; en un rico jugo natural o un delicioso postre de frutas.";;1558648-KG
53337;Pan hallulla granel;Panadería Propia;2090.0;1044.0;['/Panadería y Pastelería/Panadería granel/Pan Tradicional/', '/Panadería y Pastelería/Panadería granel/', '/Panadería y Pastelería/'];https://jumbo.vtexcommercestable.com.br/hallulla-granel/p;<p><strong>La hallulla</strong> es un pan blanco tradicional de forma redonda, firme, plana y de una consistencia más o menos esponjosa. Tiene una miga compacta, suave, blanda y con una corteza delgada. Su nombre proviene del árabe hispánico hallún (bollo de fiestas) y es uno de los panes preferidos por los chilenos. Está elaborada con harina de trigo, manteca vegetal y levadura.</p>;;1734109-KG
16145;Agua Saborizada Mas Manzana Sin Gas 1.6 L;Mas;1190.0;0.0;['/Bebidas, Aguas y Jugos/Aguas Minerales/Agua Saborizada/', '/Bebidas, Aguas y Jugos/Aguas Minerales/', '/Bebidas, Aguas y Jugos/'];https://jumbo.vtexcommercestable.com.br/agua-saborizada-cachant-n-m-s-1-6-l-manzana/p;<p>Agua saborizada sin gas sabor a manzana. Elaborado a partir de jugo de fruta natural, sin azúcar añadida y bajo en calorías.</p>;['Chile'];1660613
13833;Aceite de maravilla 1 L;Chef;3710.0;0.0;['/Despensa/Aceites, Sal y Condimentos/Aceite/', '/Despensa/Aceites, Sal y Condimentos/', '/Despensa/'];https://jumbo.vtexcommercestable.com.br/aceite-maravilla-chef-1-l/p;Aceite 100% de maravilla para todo tipo de preparaciones. El aceite de chef es infaltable en la cocina chilena.;['Chile'];264343
12470;Mandarina granel;Frutas y Verduras Propias;2990.0;1495.0;['/Frutas y Verduras/Frutas/Fruta/', '/Frutas y Verduras/Frutas/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/mandarina-granel/p;"Deliciosas Mandarinas, ideales para su consumo a diario de la manera que prefieras; en un rico jugo natural o un delicioso postre de frutas.";;260834-KG
11248;Pechuga deshuesada de pollo 700 g;Super Pollo;6990.0;2200.0;['/Carnicería/Pollo/Filetes y Pechugas de Pollo/', '/Carnicería/Pollo/', '/Carnicería/'];https://jumbo.vtexcommercestable.com.br/pechuga-deshuesada-de-pollo-super-pollo-700-g/p;"<h3>Filetitos de pechuga congelado 700 g</h3>
<p>Tan fácil como sacar del envase, cocinar y disfrutar. Tú solo te preocupas de reunir los invitados. Vienen en formato de 700 gr y 4.5 kg.</p>";['Chile'];1218302
11233;Carne Molida Vacuno 10% Grasa 500 g;Cuisine & Co;4690.0;0.0;['/Carnicería/Vacuno/Carne Molida/', '/Carnicería/Vacuno/', '/Carnicería/'];https://jumbo.vtexcommercestable.com.br/carne-molida-10-materia-grasa/p;Ideal para hacer variadas preparaciones donde necesitas una cane con más sabor. Es ideal para: pinos, rellenos, albóndigas, hamburguesas, salteados, entre otros.;['Chile'];1670574
11171;Tártaro 3% grasa kg;Jumbo;13890.0;6945.0;['/Carnicería/Vacuno/Carne Molida/', '/Carnicería/Vacuno/', '/Carnicería/'];https://jumbo.vtexcommercestable.com.br/carne-molida-t-rtaro-vacuno-3-grasa/p;Nuestro tartaro es de elaboracion propia con cortes seleccionados para obtener carne con el 3% de grasa. El tártaro, es un plato elaborado con carne de vacuno molida cruda. Se suele servir con cebolla picada muy finamente, alcaparras y diversos ingredientes, algunas veces se pone una yema de huevo.;;691432-KG
